id;name;color;description;category;brand;wholesale_price;image_url
166915;Flip-flops  ;brown;Women's flip-flops on a flat sole. If you want to feel stylish in summer, choose this unique model with a tasteful decoration! See for yourself that comfort and femininity can go hand in hand : ) Outer material - ecological leather.;Sandals & Flip-Flops for Women;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_940792.jpg
189558;Boots  ;black;Women's lace-up boots ? baggers on protector. They have a timeless cut in military style - an absolute must have : ) They are classically laced, so you can perfectly adjust them to your foot's stiffness, but they also have a zipper closure on the side of the upper. They are made of soft organic leather that resembles calfskin to the touch....;Women`s Ankle Boots & Booties;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_1007085.jpg
166931;Flip-flops  ;black;Women's flip-flops on a flat sole. The model is distinguished by metallic and glittering finish that will surely emphasize your summer tan. See how perfectly they will look as part of your summer styling ... Additionally, you will enjoy the comfort of each step you take :) Outer material ? ecological leather.;Sandals & Flip-Flops for Women;Inello;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_940854.jpg
162709;Sport Shoes  ;beige;Comfortable women's sports shoes. They have an original cut with a sock upper on a designer sole. This is an absolute hit! Thanks to them you will draw attention to yourself and prove that you know the trends: ) The inside of the shoes is lined with fabric. Outer material - fabric + ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;18.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_928282.jpg
110535;Buskin boots  ;grey;Very original sports shoes on a high rubber sole. They have a hidden heel of 4.5 cm. Metallic inserts and shimmering laces give an amazing effect. They look great on the leg and are very comfortable. The inside is lined with fabric. External material ? ecological suede.;Women`s Ankle Boots & Booties;Inello;17.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_308806.jpg
167046;Flip-flops  ;black;Licorice women's flip-flops. The model is distinguished by the most fashionable square sole and a designer heel of 8 cm. These shoes look fashionable and stylish, plus they are very comfortable : ) Outer material - ecological leather.;Sandals & Flip-Flops for Women;Inello;11.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_941186.jpg
162798;Mocassin  ;beige;Women's openwork moccasins. This timeless model has a sleek cut with subtle topstitching and a stylish gold ornament. Everyday comfort is provided by soft cushioned insole. They are waiting for you : ) Outer material ? ecological leather.;Moccasins, Loafers;Inello;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_928526.jpg
162817;Sneakers  ;black;Women's lace-up sneakers. They are made of sock-like fabric with a delicate openwork pattern. They have rubber, high sole which makes them incredibly comfortable. You must see it for yourself : ) The inside of shoes is lined with fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_928602.jpg
149617;Heel boots  ;brown;Women's boots in military style. This is an original model with high upper and collar with straps and buckles. If you love military style, these boots are made for you! A wide, 4 heel ensures comfort, and a zipper on the side of the upper ensures comfort of putting them on. They are made of ecological leather in an effective, mat finish.;Women`s Ankle Boots & Booties;Inello;28.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_892641.jpg
172834;High heels  ;black;Classic women's pumps on a stiletto heel. This unique model charms with its timeless cut on a comfortable heel of 8 cm height. The model has a shapely nose in a delicate point - it looks beautiful on the leg : ) This is a must-have item in every woman's closet! External material - ecological suede.;High heels;Inello;16.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_957833.jpg
176964;Wedge heel sneakers  ;black;Women's sneakers on a 7 cm high anchor. This classic slip-on model is a must-have item in your closet. Shoes on an anchor are ideal for women who appreciate comfort, and at the same time want to optically lengthen their legs : ) Outer material ? ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_970308.jpg
189774;Officer boots  ;black;Women's veneer boots - jackboots on a low heel with a height of 5,5 cm. A convenient addition are elastic rubber inserts located at the back, thanks to which the boots perfectly adhere to the leg. Throughout their length they have a practical zipper, which ensures comfortable putting on. These boots will be an ideal choice for autumn and winter days.... They are made of ecological leather, on a foam lining.;Over the Knee High Boots, Thigh High Boots;Inello;22.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_1007820.jpg
157211;Jodhpur boot  ;green;Women's boots ? Women's high stiletto boots with 3,5 cm sole. Model features a timeless cut in an original, mat finish. These boots make an impression! The boots have an elastic insert on the side of the upper typical for slippers and a convenient zipper closure. The inside of the boots is lined with soft fur. Outer material - ecological leather.;Women`s Ankle Boots & Booties;Inello;21.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_912970.jpg
172850;Trapper shoes  ;beige;;Women`s Ankle Boots & Booties;Inello;13.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_957897.jpg
176980;Wedge heel sneakers  ;pink;Sports shoes - women's lace-up sneakers. This timeless model is sure to attract your attention.... Hidden 4.5 cm high anchor will provide comfort in every step - see for yourself! They are made of organic leather, and the interior is lined with fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;13.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_970372.jpg
136647;Heel boots  ;black;Stylish women's boots. This timeless cut in a matching black colour is distinguished by a decorative stripe on the upper. A stable 9 cm heel adds elegance. Comfortable zipper on the side is another argument for these unique boots. They are made of ecological suede and the inside of the shoes is lined with soft fur.;Women`s Ankle Boots & Booties;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_857858.jpg
172866;Snow boots  ;beige;Women's snow boots - emus on a flat sole. They have a classic cut with the most fashionable accent - a gold chain. The boots can be worn in two ways - with a straight or turned up upper. The interior is lined with thick fur, which will keep you warm on the coldest days.... They can not miss in your winter collection of shoes : ) Outer material - ecological patent leather.;Women`s Ankle Boots & Booties;Inello;15.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_957961.jpg
136729;Heel boots  ;grey;Women's boots on a rubber heel with a height of 8 cm. Classic model that will be perfect in every everyday situation: ) A convenient solution is a zipper closure on the side of the upper. Don't be persuaded any longer : ) They are made of ecological suede and inside is lined with soft fur.;Women`s Ankle Boots & Booties;Inello;13.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_858089.jpg
162900;Sneakers  ;green;Women's suede lace-up sneakers. They have the most fashionable cut on a high sole. If you follow trends and appreciate comfort, these shoes are made for you : ) The interior is lined with fabric. External material - ecological suede.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_928871.jpg
172882;Jodhpur boot  ;black;Women's boots on a flat heel. The fashionable combination of eco leather and eco suede goes perfectly with the matching black color for everything. A belt with a snake skin motif additionally gives them character. The boots also have a zipper closure for easy putting on. They should be yours today : ) Outer material ? ecological leather + ecological suede.;Women`s Ankle Boots & Booties;Inello;21.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_958025.jpg
162981;Sport Shoes  ;black;Women's sock sports shoes. They are made of stretchy and breathable fabric to make your workouts more enjoyable. Take them with you to the gym or wear it every day: ) External material + internal ? fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_929131.jpg
162999;Sport Shoes  ;beige;Women's lace-up sports shoes on a high sole. The model is distinguished by an interesting combination of ecological leather and mesh elements, as well as holographic accessories. They definitely have the so called ?this something?! The inside of the shoes is lined with fabric. External material ? ecological leather + fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;11.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_929203.jpg
167272;Ballet flats  ;black;Elegant women's ballerinas with open heel. You will fall in love with these shoes! They have a neat cut with a delicate pointed nose and a beautiful application of shiny zircons... They are a decoration in itself : ) Outer material ? ecological leather + fabric.;Ballet Flats, Ballet Pumps for Women;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_941832.jpg
167418;Mocassin  ;beige;Women's suede moccasins. They have a very graceful and timeless cut that will never go out of fashion. Impressive decoration gives them unique charm... These are shoes which should be in every woman's closet! Outer material - ecological suede.;Moccasins, Loafers;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_942278.jpg
167435;Sneakers  ;white;Classic women's lace-up sneakers. Eye-catching contrasting black inserts... Create unique stylizations with them and enjoy comfort at every step! The inside of shoes is lined with fabric. The outer material - ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_942346.jpg
163225;Sneakers  ;white;Women's ankle trekking sneakers. The cult cut on a thick sole has no equal this season - we're definitely on board! Available in a few great colors that you must have in your collection: ) Outer + inner material - fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_929806.jpg
167451;Heel sandals  ;green;Women's suede sandals with a 6cm heel. These charm with their simple cut with a beautiful bow and adjustable closure that emphasizes the ankle. They will surely be the highlight of your styling, plus you will enjoy the comfort of every step... Outer material ? ecological suede.;Sandals & Flip-Flops for Women;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_942410.jpg
167467;Heel sandals  ;grey;Women's suede sandals. Classic cut of this model is complemented by stable heel - post with height of 9,5 cm. The charm is added by braided straps that make the shoes even more unique and eye-catching. You simply must have them! Outer material ? ecological suede.;Sandals & Flip-Flops for Women;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_942474.jpg
177300;Sport Shoes  ;pink;Women's sports shoes on a hidden anchor - 6 cm. Sneakers have already won women's hearts for many seasons! The eyes are attracted by the ultra-modern cut in the most fashionable colors.... They are sure to attract the eyes : ) The interior of the shoes is lined with fabric. External material ? ecological leather + fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;19.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_971323.jpg
177316;Flip-flops  ;pink;Orthalion women's flip-flops on a rubber sole. You will fall in love with them from the first time you put them on! The original wide Velcro strap will perfectly hold the foot. In addition, they have a superbly contoured inner insole, which will provide comfort on every step.... Outer material - orthalion fabric.;Sandals & Flip-Flops for Women;Inello;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_971387.jpg
177332;High heels  ;beige;Women's veneer pumps on a stiletto heel with a height of 11 cm. You will love them for their simple, timeless cut with shapely noses in a delicate point. See for yourself that they deserve to be in your closet as well! Outer material - ecological leather.;High heels;Inello;18.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_971451.jpg
177348;Ballet flats  ;yellow;Sleek ballerinas for women. If you like to shine then this model will surely steal your heart : ) They are covered with beautifully shimmering glitter making everyone pay attention to you.... They have a soft inner insole with a cushion, making them incredibly comfortable.;Ballet Flats, Ballet Pumps for Women;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_971515.jpg
163306;Espadrille  ;grey;Women's ballerinas - espadrilles on a linen sole. Model is distinguished by a graceful cut with linen noses, which refer to the summer period. Flat sole ensures comfort on every step... These are perfect shoes for every day! Outer material - ecological suede.;Ballet Flats, Ballet Pumps for Women;Inello;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_930003.jpg
177364;Buskin  ;beige;Tiered espadrilles for women with an open heel. The 11 cm high anchor and 3 cm platform will make your legs fabulously long! The binding sensually emphasizes the ankle.... Linen finish will give any styling a summer touch, and the floral pattern will steal your hearts : ) Outer material ? fabric.;Platform pumps;Inello;17.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_971579.jpg
185767;Sneakers  ;orange;Women's sneakers on a rubber sole. They are made of sock-like fabric with a delicate openwork pattern. They have a high sole, which makes them incredibly comfortable. You have to see it for yourself : ) The interior of the shoes is lined with fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;6.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_995909.jpg
157734;Bootie  ;black;Lace-up ladies boots ? bagers on the sole with protector. Original combination of eco-suede and ecological leather gives a unique effect... Give them a chance to conquer your wardrobe! They have a practical zipper on the side of the upper, which makes putting them on easier. Inside of boots is lined with soft fur. Outer material - ecological leather + ecological suede.  Material - ecological leather + ecological suede  Warming - delicate fur;Women`s Ankle Boots & Booties;Inello;16.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_914517.jpg
157781;Officer boots  ;black;Women's veneer boots ? jackboots. Their simple design is highlighted by the most fashionable 3 cm high sole. They will draw attention to yourself and prove that you know what's trendy! The practical zipper closure makes them comfortable to wear. They are made of ecological leather and the inside is lined with soft fur.  Outer material: ecological leather  Warming: soft fur;Over the Knee High Boots, Thigh High Boots;Inello;36.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_914705.jpg
157801;Sneakers  ;beige;Crazy women's lace-up sneakers. Model with original design on the high sole must be in every wardrobe : ) You will look and feel great in these shoes - see for yourself : ) The interior is lined with fabric. Outer material ? ecological leather.  Outer material: ecological leather  Insole: fabric;Women`s Athletic Shoes, Trainers, Sneakers;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_914785.jpg
163415;Espadrille  ;yellow;Espadrilles for women on a flat sole. These shoes will not only make you feel fashionable, but also extremely comfortable. The most fashionable colors and linen finish emphasize their summer style. Don't wait and order them today! The inside of the shoes is lined with fabric. Outer material ? fabric.;Ballet Flats, Ballet Pumps for Women;Inello;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_930329.jpg
185847;Jodhpur boot  ;green;Women's booties - slippers on a solid sole. The model is distinguished by a minimalist cut with a fashionable high upper and in a matte finish. Rubber inset refers to the slippers, and the zipper closure on the side makes it easy to put on. These are the perfect shoes for everyday wear! They are made of organic leather, on a foam lining.;Women`s Ankle Boots & Booties;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_996172.jpg
185863;Snow boots  ;black;Women's snow boots on protector. Stock up on these boots insulated with cuddly fur right now, and winter will not be afraid of you! The thick sole will provide great insulation from the ground, as well as comfort with every step. While the practical zipper closure will make it easy to put on. Outer material ? ecological leather + orthalion fabric.;Women`s Ankle Boots & Booties;Inello;27.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_996236.jpg
157980;Block heel pumps  ;black;Women's pumps on a 9 cm high stiletto heel. They have the most fashionable cut with a square nose and impressive lacquered finish. A must-have in women's wardrobe : ) They will be perfect in many situations... Outer material ? ecological coated leather.  Listed length of the insole is the length of the foot on which fits a given size.  Material- ecological coated leather.;High Heel Pumps;Inello;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_915314.jpg
163526;Sport Shoes  ;beige;Women's sock sports shoes. They are made of flexible and breathable fabric, which will make your workouts even more enjoyable. These comfortable shoes on a comfortable and soft sole are an absolute must have : )  External material + internal ? fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_930613.jpg
186257;Trapper shoes  ;black;Women's lace-up boots ? trapper boots on protector. If you're looking for comfortable boots that you won't want to take off your feet, you just found it! : ) The model is traditionally laced so that you can perfectly adjust to the tenacity of the foot. These are perfect shoes for every day : ) They are made of organic leather with a matte finish.;Women`s Ankle Boots & Booties;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_997456.jpg
186273;Sport Shoes  ;blue;Lace-up women's sports shoes for the ankle. The model is distinguished by a simple cut, thanks to which these shoes will be the base for many sports-style styling. Not only do they look great, but they are also mega comfortable! The interior of the shoes is lined with fabric. External material ? ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_997520.jpg
181859;Ballet flats  ;white;Women's ballerinas with an open heel made of full grain organic leather. They have a graceful cut with a delicate pointed toe nose.... Thanks to the beautiful bow, the shoes gain a unique charm. See for yourself that this wonderful model will be an ornament of any creation.... Outer material ? ecological leather.    Note: when choosing the correct size, the strap slips off the heel - we suggest using these shoes like flip-flops.;Ballet Flats, Ballet Pumps for Women;Inello;6.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_984715.jpg
163593;Sport Shoes  ;green;Women's sports shoes on a high sole - 4.5 cm. Classic cut and unique pattern is a large dose of fashion, which will certainly win your heart... I think you already know, which shoes will reign in your closet from now on : ) The inside of shoes is lined with fabric. External material ? ecological leather + ecological suede.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;11.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_930779.jpg
181875;High heels  ;black;Satin pumps for women on a stiletto heel. The bow with sparkling zircons will make you fall in love with them at first sight : ) Heel height of 10 cm will beautifully slenderize your silhouette, and satin finish emphasizes their unique style.... An ideal choice for special occasions - prom, wedding or ball. Outer material ? fabric.;High heels;Inello;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_984779.jpg
163611;Sport Shoes  ;blue;Women's laced sports shoes. This model is a perfect combination of classic cut and must have season - high sole - 4,5 cm! They are very universal, so you can wear them on every occasion... They are made of ecological leather with colorful ecological suede inserts. The inside is lined with fabric.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_930851.jpg
177636;Flip-flops  ;beige;Women's flip-flops on a rubber sole. The model captivates with a glittering application of delicate zircons.... Superbly contoured inner insole will ensure comfort at every step. They will certainly meet your expectations : ) Outer material ? ecological suede.;Sandals & Flip-Flops for Women;Inello;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_972020.jpg
181891;Sandals  ;black;Women's suede sandals on a flat sole. This unique model with emphasizing midfoot straps will steal your hearts : ) The shoes also have a convenient zipper closure at the back, and the flat sole is another asset. Outer material ? ecological suede.;Sandals & Flip-Flops for Women;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_984843.jpg
150976;Buskin boots  ;green;Women's suede boots on a hidden 6cm heel. Model with subtle gold decoration will fit perfectly to autumn stylizations... These extremely comfortable boots are simply impossible to pass by indifferently! They also have a practical zipper closure, which ensures comfortable putting on. They are made of very nice in touch ecological suede with foam lining.;Women`s Ankle Boots & Booties;Inello;14.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_896198.jpg
173543;Officer boots  ;black;Women's musketeers - jackboots on a flat sole. This classic model is a must-have item in every woman's closet : ) They have a simple cut with subtle lacing at the back of the upper.... Comfortable putting on is provided by a zipper on the side of the upper. Don't be persuaded! They are made of eco-suede, and the interior is lined with soft fur.;Over the Knee High Boots, Thigh High Boots;Inello;33.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_959845.jpg
158162;Trekking Boots  ;green;Women's ankle trekking sneakers. Absolute must have of this season! Classic cut and the most fashionable high sole (6cm) are a perfect combination. If you like original solutions, these shoes are made for you! Outer and inner material ? fabric.  Outer material: fabric.  Inner footbed: textile;Women`s Athletic Shoes, Trainers, Sneakers;Inello;19.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_915741.jpg
173559;Trapper shoes  ;brown;Women's lace-up boots - trapper boots on a protector. Note their timeless cut with comfortable round toes. Not only do they look great, they are also mega comfortable! They are an unquestionable must have : ) They are made of eco leather, and the interior is insulated with cuddly fur.;Women`s Ankle Boots & Booties;Inello;24.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_959907.jpg
181939;Ballet flats  ;pink;Women's suede ballerinas. They have a simple design with square toes.... The zirconia-embellished bow gives the shoes a unique charm : ) While the soft inner insole with a cushion will provide comfort in every step. Outer material ? ecological suede.;Ballet Flats, Ballet Pumps for Women;Inello;6.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_985017.jpg
173575;Block heel pumps  ;black;Women's suede pumps. They have a timeless and very feminine cut with a tapered nose. Stable heel - post with a height of 10,5 cm will slenderize your silhouette. This unique model is a must-have item in every woman's closet.... They will surely steal your heart : ) Outer material - ecological suede.;High Heel Pumps;Inello;15.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_959970.jpg
181955;Heel sandals  ;grey;Iridescent women's sandals on a wide heel with a height of 6 cm. The model impresses with a beautifully shimmering finish, and the adjustable clasp emphasizes the ankle. We guarantee that you will attract all eyes and feel comfortable with every step : ) Outer material ? fabric.;Sandals & Flip-Flops for Women;Inello;11.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_985081.jpg
158231;Sport Shoes  ;pink;Women's sports shoes with a 6 cm high heel. They will definitely become your favourite pair of shoes! A striking colour combination and shimmering accessories make a stylish finish to the whole design. See for yourself how special you will look in them... The inside of shoes is lined with fabric. Outer material: ecological leather + ecological suede.  Outer material: ecological suede + ecological leather  Insole: fabric;Women`s Athletic Shoes, Trainers, Sneakers;Inello;13.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_915950.jpg
181971;Heel sandals  ;black;Sandals - espadrilles for women on a 7 cm high anchor. Fashionable and at the same time stable platform with a height of 2 cm is their invaluable advantage. Soft inner insole will provide incredible comfort on every step - check it yourself : ) Do not wait and order them today! Outer material ? ecological suede + fabric.;Sandals & Flip-Flops for Women;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_985145.jpg
181987;Espadrille  ;brown;Women's espadrilles on a 7,5 cm high anchor. These shoes are a must-have accessory for the summer season : ) The model impresses with its color combination and linen finish.... The anchor, on the other hand, provides stability and will prove itself in any situation. Don't wait! External material ? ecological suede + ecological leather.;Ballet Flats, Ballet Pumps for Women;Inello;15.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_985209.jpg
139735;High heels  ;navy blue;Women's pumps on a stable heel ? stiletto heel with a height of 7.5 cm. This model impresses with its sleek and timeless cut with a delicate pointed nose. Glossy, lacquered finish is very elegant and eye-catching. See how special you will look in them! Outer material ? ecological leather.;High heels;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_865957.jpg
151396;Ballet flats  ;red;Elegant women's ballerinas on a delicate rise. Impressive application on the front gives these shoes a unique style and shine... It's a unique shapely model with tapering nose. They should be in every woman's wardrobe! Outer material - ecological suede.;Ballet Flats, Ballet Pumps for Women;Inello;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_897284.jpg
177764;Heel sandals  ;red;Women's sandals with a heel height of 10 cm. If you want to look classic yet unique then this model with satin finish is made for you : ) Adjustable strap around the ankle beautifully emphasizes it. They will certainly add femininity to any styling.... Outer material ? satin fabric.;Sandals & Flip-Flops for Women;Inello;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_972466.jpg
177780;Sport Shoes  ;black;Women's sports shoes - sneakers on a hidden 5,5 cm high anchor. The flexible and resilient sole guarantees incredible comfort with every step. Order them today and you won't regret it! The interior of the shoes is lined with fabric. Outer material - ecological suede + ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_972530.jpg
151550;Sneakers  ;green;Women's full grain sneakers. If you appreciate original combinations and you love fashion trends, choose these shoes: ) This model attracts attention with striking studs on the back, which give shoes character. Create unique stylizations with them and enjoy comfort at every step! They are made of ecological leather.;Women`s Athletic Shoes, Trainers, Sneakers;Inello;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_897726.jpg
177828;Sandals  ;beige;Women's sandals with a low heel. Their classic cut with stylish accessories in gold color is a recipe for success. A wide heel with a height of 3 cm will take care of your comfort while walking.... They can not miss in your closet! External material ? ecological leather.;Sandals & Flip-Flops for Women;Inello;13.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_972927.jpg
177844;Flip-flops  ;black;Women's flip-flops on a flat sole. This unique model is distinguished by striking and colorful embellishments that will attract all eyes! The whole creates a very consistent summer look.... Outer material ? fabric.;Sandals & Flip-Flops for Women;Inello;12.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_972991.jpg
